Real Madrid,Real MadridBayern Munich,Full Time,"Santiago Bernabéu, Madrid, Spain",FT
Club Brugge,Club BruggeFiorentina,Full Time,"Jan Breydelstadion, Brugge, Belgium",FT
Houston Dash,Houston DashNJ/NY Gotham FC,,"Shell Energy Stadium, Houston, Texas, USA",8:00 PM
San Diego Wave FC,San Diego Wave FCUtah Royals,,"Snapdragon Stadium, San Diego, California, USA",10:00 PM
Seattle Reign FC,Seattle Reign FCKansas City Current,,"Lumen Field, Seattle, Washington, USA",10:00 PM
Guadalajara,GuadalajaraToluca,1st Leg,"Estadio Akron, Guadalajara, Mexico",9:05 PM
Pachuca,PachucaAmérica,1st Leg,"Estadio Hidalgo, Pachuca, Mexico",11:16 PM
Bordeaux,BordeauxLyon,Full Time,"Stade Sainte-Germaine, Le Bouscat, France",FT
FC Fleury 91,FC Fleury 91Montpellier,Full Time,"Stade Robert Bobin, Bondoufle, France",FT
Guingamp,GuingampLe Havre AC,Full Time,"Stade Centre Formation Eag 1, Pabu, France",FT
Paris FC,Paris FCDijon,Full Time,"Stade Charléty, Paris, France",FT
Saint-Étienne,Saint-ÉtienneLille,Full Time,"Stade Salif Keita, Saint-Etienne, France",FT
Stade de Reims,Stade de ReimsParis Saint-Germain,Full Time,"Stade Auguste-Delaune II, Reims, France",FT
Charleston Battery,Charleston BatterySouth Georgia Tormenta FC,,"Patriots Point, Mount Pleasant, South Carolina, USA",7:00 PM
Indy Eleven,Indy ElevenSan Antonio FC,,"Bud and Jackie Sellick Bowl, Indianapolis, Indiana",7:00 PM
North Carolina FC,North Carolina FCPhoenix Rising FC,,"WakeMed Soccer Park, Cary, North Carolina, USA",7:00 PM
New York City FC II,New York City FC IIColorado Springs Switchbacks FC,,"Belson Stadium, Queens, New York, USA",7:30 PM
Tampa Bay Rowdies,Tampa Bay RowdiesBirmingham Legion FC,,"Al Lang Stadium, St. Petersburg, Florida, USA",7:30 PM
Union Omaha,Union OmahaSporting Kansas City,,"Caniglia Field, Omaha, USA",8:00 PM
New Mexico United,New Mexico UnitedReal Salt Lake,,"Rio Grande Credit Union Field at Isotopes Park, Albuquerque, New Mexico, USA",9:00 PM
Las Vegas Lights FC,Las Vegas Lights FCLAFC,,"Cashman Field, Las Vegas, Nevada, USA",10:30 PM
